d_loss,epoch,created_at,g_loss
92.82732391357422,25,2019-12-13 05:27:34.016045,
86.4915771484375,25,2019-12-13 05:27:34.129289,
85.31625366210938,25,2019-12-13 05:27:34.251377,
90.75514221191406,25,2019-12-13 05:27:34.365950,
81.01744842529297,25,2019-12-13 05:27:34.490333,
77.78617858886719,25,2019-12-13 05:27:34.612204,
99.57353973388672,25,2019-12-13 05:27:34.732281,
93.97715759277344,25,2019-12-13 05:27:34.853859,
81.77041625976562,25,2019-12-13 05:27:34.975188,-4733.53662109375
76.9440689086914,25,2019-12-13 05:27:35.088442,
80.48809051513672,25,2019-12-13 05:27:35.207607,
86.3195571899414,25,2019-12-13 05:27:35.325625,
88.45023345947266,25,2019-12-13 05:27:35.449716,
82.7482681274414,25,2019-12-13 05:27:35.575063,
105.99178314208984,25,2019-12-13 05:27:35.696532,
106.24803924560547,25,2019-12-13 05:27:35.820863,
87.40425109863281,25,2019-12-13 05:27:35.941790,
89.83622741699219,25,2019-12-13 05:27:36.064656,
73.49971771240234,25,2019-12-13 05:27:36.180891,
106.2552719116211,25,2019-12-13 05:27:36.304185,
87.78218841552734,25,2019-12-13 05:27:36.421160,
91.3243637084961,25,2019-12-13 05:27:36.550826,
97.39949035644531,25,2019-12-13 05:27:36.680886,
85.24713134765625,25,2019-12-13 05:27:36.809437,
92.28605651855469,25,2019-12-13 05:27:36.933077,
75.22207641601562,25,2019-12-13 05:27:37.061588,
80.94731140136719,25,2019-12-13 05:27:37.192724,
86.1127700805664,25,2019-12-13 05:27:37.326582,
84.46160888671875,25,2019-12-13 05:27:37.460646,
87.26641082763672,25,2019-12-13 05:27:37.596034,-4622.6015625
87.96856689453125,25,2019-12-13 05:27:37.727354,
68.4317626953125,25,2019-12-13 05:27:37.857560,
79.75804901123047,25,2019-12-13 05:27:37.993575,
67.97054290771484,25,2019-12-13 05:27:38.120922,
69.9228515625,25,2019-12-13 05:27:38.248284,
69.8715591430664,25,2019-12-13 05:27:38.373625,
72.06489562988281,25,2019-12-13 05:27:38.494757,
87.62030029296875,25,2019-12-13 05:27:38.605809,
71.09497833251953,25,2019-12-13 05:27:38.724768,
94.21731567382812,25,2019-12-13 05:27:38.850740,
87.71509552001953,25,2019-12-13 05:27:38.978736,
79.86688232421875,25,2019-12-13 05:27:39.109128,
81.0845718383789,25,2019-12-13 05:27:39.241547,
63.23751449584961,25,2019-12-13 05:27:39.369461,
82.86326599121094,25,2019-12-13 05:27:39.497562,
78.80892181396484,25,2019-12-13 05:27:39.624605,
75.56095886230469,25,2019-12-13 05:27:39.748395,
